         53762953 function calls (53439232 primitive calls) in 75.954 seconds

   Ordered by: file name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       27    0.000    0.000    0.001    0.000 /home/spitale/rms-/rms-data-projects/metadata/__init__.py:483(sclk_split_count)
      280    0.021    0.000    0.067    0.000 /home/spitale/rms-/rms-data-projects/metadata/__init__.py:711(_get_range_mod360)
        3    0.000    0.000    0.001    0.000 /home/spitale/rms-/rms-data-projects/metadata/__init__.py:458(write_txt_file)
       27    0.000    0.000    0.001    0.000 /home/spitale/rms-/rms-data-projects/metadata/__init__.py:517(sclk_to_ticks)
        1    0.000    0.000    0.000    0.000 /home/spitale/rms-/rms-data-projects/metadata/__init__.py:333(splitpath)
      172    0.000    0.000    0.000    0.000 /home/spitale/rms-/rms-data-projects/metadata/__init__.py:691(_ninety_percent_gap_degrees)
       12    0.000    0.000    0.002    0.000 /home/spitale/rms-/rms-data-projects/metadata/__init__.py:451(read_txt_file)
        1    0.000    0.000    0.000    0.000 /home/spitale/rms-/rms-data-projects/metadata/__init__.py:271(get_index_name)
        4    0.004    0.001    0.007    0.002 /home/spitale/rms-/rms-data-projects/metadata/__init__.py:297(force_crlf)
        4    0.002    0.001    0.004    0.001 /home/spitale/rms-/rms-data-projects/metadata/__init__.py:177(process_directives)
        4    0.000    0.000    0.000    0.000 /home/spitale/rms-/rms-data-projects/metadata/__init__.py:147(_directive_insert)
        1    0.000    0.000    0.000    0.000 /home/spitale/rms-/rms-data-projects/metadata/__init__.py:409(get_volume_glob)
       27    0.000    0.000    0.001    0.000 /home/spitale/rms-/rms-data-projects/metadata/__init__.py:541(get_system)
       27    0.000    0.000   50.171    1.858 /home/spitale/rms-/rms-data-projects/metadata/geometry_support.py:785(_add_records)
        2    0.000    0.000    0.022    0.011 /home/spitale/rms-/rms-data-projects/metadata/geometry_support.py:127(_write_tables)
       81    0.015    0.000   50.170    0.619 /home/spitale/rms-/rms-data-projects/metadata/geometry_support.py:243(_prep_rows)
      243    0.004    0.000   37.217    0.153 /home/spitale/rms-/rms-data-projects/metadata/geometry_support.py:440(_construct_excluded_mask)
        4    0.001    0.000    0.034    0.008 /home/spitale/rms-/rms-data-projects/metadata/geometry_support.py:628(_make_label)
        1    0.006    0.006   75.954   75.954 /home/spitale/rms-/rms-data-projects/metadata/geometry_support.py:1032(process_index)
     1431    0.027    0.000    0.304    0.000 /home/spitale/rms-/rms-data-projects/metadata/geometry_support.py:536(_formatted_column)
        1    0.012    0.012   75.943   75.943 /home/spitale/rms-/rms-data-projects/metadata/geometry_support.py:820(_process_one_index)
       81    0.001    0.000   50.171    0.619 /home/spitale/rms-/rms-data-projects/metadata/geometry_support.py:142(_add_record)
        3    0.000    0.000    0.033    0.011 /home/spitale/rms-/rms-data-projects/metadata/geometry_support.py:115(_write_table)
